diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;nb_price_changed_0;nb_tick_buy_vol_eq_1;nb_tick_sell_vol_eq_1;nb_tick_other_vol_eq_1;nb_tick_buy_vol_2_5;nb_tick_sell_vol_2_5;nb_tick_other_vol_2_5diff_open_low_m1;nb_tick_other_vol_2_5;diff_open_low_m1
3.75;2.25;1.0;0.5;4701.0;1471.0;2495.0;751.0;2857.0;881.0;1531.0;456.0;302.0;531.0;1016.0;266.0;324.0;481.0;;184.0;4.75
5.5;3.5;0.5;1.5;7172.0;2281.0;3981.0;952.0;4308.0;1370.0;2359.0;610.0;455.0;831.0;1529.0;390.0;502.0;764.0;;209.0;1.25
6.5;5.0;0.75;0.75;5355.0;1494.0;3047.0;845.0;3264.0;908.0;1873.0;496.0;297.0;551.0;1271.0;305.0;345.0;561.0;;181.0;1.0
4.25;3.5;0.75;0.0;3860.0;1074.0;1939.0;864.0;2405.0;700.0;1201.0;513.0;251.0;473.0;843.0;337.0;218.0;334.0;;164.0;0.75
2.25;0.5;1.25;0.5;2556.0;769.0;1203.0;600.0;1611.0;487.0;748.0;388.0;164.0;296.0;476.0;243.0;188.0;263.0;;145.0;1.25
6.5;5.75;0.5;0.25;8053.0;2378.0;4923.0;781.0;4796.0;1262.0;3038.0;518.0;499.0;675.0;2046.0;349.0;557.0;937.0;;166.0;0.5
3.0;2.75;0.25;0.0;4236.0;1385.0;2293.0;588.0;2552.0;827.0;1399.0;346.0;294.0;511.0;960.0;214.0;307.0;418.0;;129.0;1.25
4.25;3.0;0.25;1.0;4901.0;1509.0;2872.0;551.0;2746.0;829.0;1645.0;289.0;271.0;456.0;1043.0;151.0;345.0;552.0;;122.0;0.0
2.25;1.25;0.75;0.25;2636.0;714.0;1535.0;406.0;1526.0;412.0;915.0;213.0;129.0;251.0;606.0;117.0;148.0;286.0;;87.0;1.5
1.75;0.75;0.25;0.75;3192.0;1144.0;1628.0;437.0;1857.0;657.0;966.0;241.0;222.0;377.0;613.0;129.0;257.0;328.0;;101.0;1.0
2.75;1.75;0.75;0.25;3610.0;1180.0;1924.0;527.0;2133.0;655.0;1140.0;351.0;221.0;369.0;732.0;224.0;268.0;374.0;;121.0;1.0
1.25;0.5;0.25;0.5;2499.0;901.0;1203.0;417.0;1533.0;525.0;760.0;260.0;162.0;320.0;516.0;150.0;188.0;231.0;;107.0;0.5
4.0;1.0;1.25;1.75;4972.0;1812.0;2540.0;638.0;3005.0;1074.0;1594.0;349.0;366.0;692.0;1096.0;204.0;346.0;464.0;;127.0;1.75
1.5;0.5;0.75;0.25;2131.0;766.0;1099.0;283.0;1352.0;487.0;688.0;186.0;160.0;327.0;440.0;111.0;150.0;237.0;;75.0;0.5
1.25;0.25;0.75;0.25;2240.0;835.0;971.0;448.0;1364.0;470.0;627.0;274.0;147.0;287.0;422.0;178.0;163.0;195.0;;89.0;2.0
3.0;1.25;1.25;0.5;3128.0;965.0;1721.0;470.0;1838.0;584.0;1002.0;268.0;206.0;379.0;630.0;156.0;189.0;349.0;;107.0;0.5
1.5;1.25;0.0;0.25;2717.0;859.0;1448.0;429.0;1665.0;489.0;894.0;294.0;194.0;274.0;606.0;198.0;203.0;271.0;;96.0;1.75
2.0;0.75;1.25;0.0;2220.0;761.0;992.0;483.0;1397.0;499.0;613.0;296.0;159.0;350.0;396.0;192.0;141.0;207.0;;98.0;0.5
1.75;0.25;1.25;0.25;2142.0;753.0;862.0;539.0;1337.0;452.0;557.0;333.0;131.0;284.0;399.0;204.0;159.0;144.0;;123.0;1.5
2.75;1.25;0.25;1.25;3441.0;1021.0;1907.0;527.0;1988.0;577.0;1110.0;310.0;211.0;356.0;759.0;217.0;199.0;314.0;;80.0;4.75
4.75;4.5;0.25;0.0;4639.0;1405.0;2414.0;829.0;2661.0;823.0;1431.0;415.0;312.0;509.0;964.0;224.0;284.0;433.0;;170.0;0.25
4.75;4.25;0.25;0.25;4830.0;1497.0;2475.0;890.0;2696.0;847.0;1369.0;499.0;274.0;493.0;843.0;303.0;326.0;475.0;;178.0;0.75
3.0;2.25;0.25;0.5;3440.0;1177.0;1554.0;741.0;1991.0;656.0;883.0;465.0;185.0;359.0;555.0;283.0;279.0;296.0;;177.0;1.0
4.5;2.75;1.25;0.5;5692.0;1825.0;2864.0;1021.0;3388.0;1042.0;1759.0;598.0;366.0;634.0;1187.0;382.0;379.0;535.0;;200.0;1.75
3.25;1.5;1.25;0.5;6013.0;2391.0;2512.0;1180.0;3364.0;1292.0;1444.0;642.0;286.0;802.0;916.0;364.0;469.0;503.0;;268.0;0.5
4.25;3.5;0.5;0.25;4027.0;1153.0;2345.0;547.0;2447.0;679.0;1484.0;291.0;262.0;419.0;1054.0;176.0;247.0;401.0;;105.0;0.0
2.0;1.0;0.0;1.0;4072.0;1643.0;1931.0;509.0;2345.0;886.0;1199.0;266.0;247.0;553.0;811.0;153.0;303.0;369.0;;106.0;1.5
3.75;2.25;0.0;1.5;2869.0;625.0;1817.0;441.0;1711.0;371.0;1100.0;249.0;169.0;227.0;762.0;129.0;139.0;309.0;;118.0;1.5
2.25;2.25;0.0;0.0;2254.0;704.0;987.0;575.0;1315.0;419.0;590.0;310.0;153.0;271.0;381.0;178.0;144.0;204.0;;129.0;0.25
2.25;1.75;0.0;0.5;2690.0;909.0;1308.0;487.0;1560.0;495.0;799.0;277.0;137.0;275.0;523.0;165.0;214.0;264.0;;109.0;0.75
1.75;1.5;0.25;0.0;2855.0;1074.0;1430.0;369.0;1644.0;599.0;841.0;214.0;181.0;350.0;546.0;114.0;229.0;272.0;;98.0;1.25
2.0;1.25;0.75;0.0;2516.0;729.0;1355.0;444.0;1393.0;411.0;724.0;262.0;147.0;250.0;463.0;165.0;148.0;232.0;;91.0;0.75
1.25;0.5;0.5;0.25;2191.0;803.0;1012.0;383.0;1181.0;444.0;540.0;201.0;138.0;276.0;325.0;114.0;152.0;196.0;;79.0;1.75
2.25;1.5;0.5;0.25;2139.0;769.0;1050.0;326.0;1175.0;422.0;583.0;174.0;128.0;239.0;379.0;97.0;170.0;180.0;;72.0;0.25
4.25;3.0;0.0;1.25;4108.0;1051.0;2655.0;426.0;2038.0;517.0;1313.0;223.0;197.0;274.0;847.0;139.0;217.0;394.0;;73.0;0.25
7.0;7.0;0.0;0.0;4435.0;1199.0;2220.0;1098.0;2737.0;697.0;1352.0;700.0;275.0;471.0;894.0;494.0;221.0;434.0;;203.0;3.75
5.75;0.25;2.0;3.5;10620.0;3904.0;5073.0;1725.0;6708.0;2395.0;3253.0;1106.0;785.0;1485.0;2175.0;728.0;866.0;1036.0;;364.0;0.25
